Id,TimeStamp,EventType
1211,0,Entity Created
1212,0,Entity Created
1213,0,Entity Created
1214,0,Entity Created
1215,0,Entity Created
1216,0,Entity Created
1217,0,Entity Created
1218,0,Entity Created
1219,0,Entity Created
1220,0,Mark For Evaluation
1221,7.31512403488159,Entity Created
1222,7.37193012237549,Mark For Evaluation
1223,194.677169799805,Fire
1224,210.880905151367,Fire
1225,210.971313476563,Hit
1226,211.002243041992,Entity Destroyed
1227,214.55632019043,Fire
1228,214.636871337891,Hit
1229,217.452850341797,Fire
1230,217.552215576172,Hit
1231,220.419708251953,Fire
1232,220.511459350586,Hit
1233,248.246520996094,Entity Created
1234,248.29052734375,Mark For Evaluation
1235,380.442687988281,Fire
1236,380.513641357422,Hit
1237,380.530731201172,Entity Destroyed
1238,383.342651367188,Fire
1239,383.427703857422,Hit
1240,385.875061035156,Fire
1241,385.965606689453,Hit
1242,388.454650878906,Fire
1243,388.537078857422,Hit
1244,391.101928710938,Fire
1245,391.195739746094,Hit
1246,391.353820800781,Unmark From Evaluation
1247,405.269439697266,Entity Created
1248,405.334899902344,Mark For Evaluation
1249,487.565765380859,Fire
1250,487.644897460938,Hit
1251,487.673675537109,Entity Destroyed
1252,490.146453857422,Fire
1253,490.223114013672,Hit
1254,492.656799316406,Fire
1255,492.755523681641,Hit
1256,494.664978027344,Fire
1257,494.756927490234,Hit
1258,496.740051269531,Fire
1259,496.825622558594,Hit
1260,496.964080810547,Unmark From Evaluation
1261,533.94140625,Entity Created
1262,534.001281738281,Mark For Evaluation
1263,569.494262695313,Fire
1264,572.735107421875,Fire
1265,575.427795410156,Fire
1266,575.507446289063,Hit
1267,575.532958984375,Entity Destroyed
1268,578.48583984375,Fire
1269,578.572875976563,Hit
1270,581.15771484375,Fire
1271,581.233337402344,Hit
1272,616.52978515625,Entity Created
1273,616.572570800781,Mark For Evaluation
1274,659.023986816406,Fire
1275,661.372863769531,Fire
1276,663.609375,Fire
1277,663.703491210938,Hit
1278,663.728698730469,Entity Destroyed
1279,665.891662597656,Fire
1280,665.998901367188,Hit
1281,667.829650878906,Fire
1282,667.943298339844,Hit
1283,692.064392089844,Entity Created
1284,692.111511230469,Mark For Evaluation
1285,733.490112304688,Fire
1286,736.454895019531,Fire
1287,736.528930664063,Hit
1288,736.555114746094,Entity Destroyed
1289,739.012084960938,Fire
1290,739.089965820313,Hit
1291,743.118957519531,Fire
1292,743.209106445313,Hit
1293,747.592163085938,Fire
1294,747.681884765625,Hit
